theta time Kinect_theta
-10 35.4051 -0.24536
-10 35.4573 -0.244848
-10 35.5089 -0.245458
-10 35.5622 -0.245392
-10 35.6137 -0.242411
-10 35.6651 -0.24322
-10 35.7162 -0.238595
-10 35.7677 -0.242941
-10 35.8183 -0.242419
-10 35.8699 -0.243236
-10 35.9213 -0.246034
-10 35.9725 -0.243107
-10 36.0238 -0.246683
-10 36.0764 -0.252984
-10 36.1276 -0.245336
-10 36.1831 -0.243213
-10 36.2377 -0.243806
-10 36.2918 -0.245791
-10 36.3431 -0.248601
-10 36.3943 -0.248601
-10 36.4445 -0.249126
-10 36.4977 -0.240897
-10 36.5498 -0.239773
-10 36.6015 -0.238019
-10 36.655 -0.24362
-10 36.7071 -0.242324
-10 36.759 -0.245041
-10 36.8101 -0.241908
-10 36.8624 -0.245571
-10 36.9134 -0.244162
-10 36.965 -0.244658
-10 37.0212 -0.245593
-10 37.0761 -0.246404
-10 37.1322 -0.24278
-10 37.1869 -0.245429
-10 37.244 -0.241721
-10 37.2993 -0.244646
-10 37.3564 -0.250851
-10 37.4111 -0.250654
-10 37.466 -0.245583
-10 37.5207 -0.249618
-10 37.5765 -0.249413
-10 37.6312 -0.249098
-10 37.6881 -0.244897
-10 37.7427 -0.248104
-10 37.7976 -0.24421
-10 37.85 -0.243932
-10 37.9023 -0.24377
-10 37.9548 -0.252303
-10 38.0059 -0.248796
-10 38.0579 -0.246657
-10 38.1091 -0.242487
-10 38.1605 -0.246047
-10 38.2146 -0.246573
-10 38.2712 -0.245744
-10 38.325 -0.244285
-10 38.3761 -0.248357
-10 38.4291 -0.244619
-10 38.4806 -0.245217
-10 38.5353 -0.24437
-10 38.5905 -0.245184
-10 38.6445 -0.23997
-10 38.6992 -0.247222
-10 38.7533 -0.24363
-10 38.8072 -0.245111
-10 38.8612 -0.251249
-10 38.9154 -0.248669
-10 38.9697 -0.252654
-10 39.0244 -0.247054
-10 39.0789 -0.24602
-10 39.1309 -0.246749
-10 39.1823 -0.247645
-10 39.2369 -0.249325
-10 39.2875 -0.250692
-10 39.3393 -0.248975
-10 39.3891 -0.241265
-10 39.4404 -0.245213
-10 39.4923 -0.246222
-10 39.5443 -0.245921
-10 39.5947 -0.248156
-10 39.6462 -0.25134
-10 39.6979 -0.249424
-10 39.7491 -0.244415
-10 39.8006 -0.241923
-10 39.8514 -0.244954
-10 39.9028 -0.248675
-10 39.9541 -0.247026
-10 40.005 -0.247865
-10 40.0563 -0.244496
-10 40.1075 -0.244342
-10 40.1628 -0.248278
-10 40.2175 -0.244037
-10 40.2728 -0.245127
-10 40.3272 -0.248327
-10 40.3828 -0.249588
-10 40.4338 -0.240582
-10 40.4849 -0.244298
-10 40.5361 -0.245739
-10 40.5868 -0.249069
-10 40.6383 -0.248499
-10 40.6896 -0.248681
-10 40.7401 -0.245211
-10 40.7916 -0.244575
-10 40.8424 -0.245496
-10 40.8934 -0.248007
-10 40.9447 -0.246253
-10 40.9969 -0.249625
-10 41.0489 -0.247025
-10 41.1001 -0.243666
-10 41.151 -0.246481
-10 41.2032 -0.243742
-10 41.2631 -0.245865
-10 41.3234 -0.252386
-10 41.3843 -0.249034
-10 41.4438 -0.245955
-10 41.5037 -0.245394
-10 41.5547 -0.245729
-10 41.6154 -0.248284
-10 41.6753 -0.246715
-10 41.736 -0.244932
-10 41.7956 -0.247052
-10 41.8501 -0.247357
-10 41.91 -0.248746
-10 41.9708 -0.25001
-10 42.0309 -0.251915
-10 42.0904 -0.248246
-10 42.1516 -0.247072
-10 42.2123 -0.242486
-10 42.2644 -0.246003
-10 42.3153 -0.253166
-10 42.3669 -0.249401
-10 42.419 -0.246753
-10 42.4707 -0.243738
-10 42.5219 -0.247294
-10 42.5734 -0.242119
-10 42.6235 -0.243787
-10 42.6752 -0.249062
-10 42.7262 -0.243918
-10 42.7771 -0.24468
-10 42.8289 -0.245552
-10 42.8803 -0.250202
-10 42.9309 -0.242625
-10 42.982 -0.246633
-10 43.0328 -0.249997
-10 43.0837 -0.247104
-10 43.1401 -0.251218
-10 43.1957 -0.245055
-10 43.2558 -0.245362
-10 43.3095 -0.246117
-10 43.3618 -0.242738
-10 43.4139 -0.245322
-10 43.4662 -0.254318
-10 43.5185 -0.24852
-10 43.5698 -0.246873
-10 43.6213 -0.250315
-10 43.673 -0.244926
-10 43.7239 -0.245754
-10 43.7751 -0.250438
-10 43.8273 -0.251294
-10 43.8791 -0.252555
-10 43.9299 -0.241015
-10 43.9809 -0.242248
-10 44.0323 -0.243725
-10 44.0843 -0.246967
-10 44.1371 -0.250967
-10 44.1879 -0.246635
-10 44.2403 -0.248821
-10 44.2914 -0.249117
-10 44.3443 -0.244949
-10 44.3961 -0.245005
-10 44.4482 -0.247223
-10 44.4995 -0.245943
-10 44.5511 -0.251784
-10 44.6022 -0.249228
-10 44.653 -0.24717
-10 44.7053 -0.241248
-2 0.00131202 -0.0731489
-2 0.061136 -0.0737508
-2 0.12177 -0.071502
-2 0.180382 -0.0746156
-2 0.238841 -0.0783379
-2 0.297769 -0.0726655
-2 0.351354 -0.0801223
-2 0.401475 -0.0781078
-2 0.452241 -0.0714905
-2 0.502457 -0.0737151
-2 0.553726 -0.0744874
-2 0.603746 -0.0780033
-2 0.654319 -0.0767672
-2 0.705099 -0.0748537
-2 0.75496 -0.0752877
-2 0.805314 -0.0724724
-2 0.855674 -0.0728863
-2 0.908903 -0.0796639
-2 0.960666 -0.076299
-2 1.01106 -0.0758284
-2 1.06245 -0.0756017
-2 1.1125 -0.0748405
-2 1.1627 -0.0832521
-2 1.2131 -0.0843319
-2 1.26532 -0.0814658
-2 1.31544 -0.0800303
-2 1.36569 -0.0799632
-2 1.4163 -0.076115
-2 1.46605 -0.0777461
-2 1.51688 -0.0751723
-2 1.56837 -0.0757754
-2 1.61857 -0.0777024
-2 1.66927 -0.078206
-2 1.7204 -0.0791229
-2 1.77191 -0.0815597
-2 1.82172 -0.0783147
-2 1.87218 -0.0781728
-2 1.92288 -0.0767643
-2 1.97488 -0.0780788
-2 2.02546 -0.0764068
-2 2.07609 -0.0776576
-2 2.12633 -0.0778005
-2 2.17714 -0.0775353
-2 2.22877 -0.0754902
-2 2.28039 -0.0773051
-2 2.33115 -0.0802742
-2 2.38258 -0.0820821
-2 2.43319 -0.0769088
-2 2.48377 -0.0763954
-2 2.53461 -0.0775923
-2 2.59401 -0.0715748
-2 2.65354 -0.0721911
-2 2.71279 -0.0766812
-2 2.77231 -0.0769232
-2 2.83359 -0.0792297
-2 2.89507 -0.0797013
-2 2.95455 -0.0670783
-2 3.01591 -0.0793381
-2 3.07519 -0.0804839
-2 3.13604 -0.0740643
-2 3.1909 -0.0734141
-2 3.24068 -0.0745772
-2 3.29063 -0.0759505
-2 3.34097 -0.0781697
-2 3.39238 -0.0770364
-2 3.44367 -0.0767632
-2 3.49497 -0.0787104
-2 3.54535 -0.08231
-2 3.59588 -0.080083
-2 3.64642 -0.0811456
-2 3.69664 -0.0833387
-2 3.74788 -0.0768761
-2 3.79783 -0.075729
-2 3.84969 -0.0812873
-2 3.90309 -0.0754763
-2 3.95708 -0.0766463
-2 4.0168 -0.0863444
-2 4.07629 -0.0821787
-2 4.13546 -0.0782153
-2 4.19436 -0.0815467
-2 4.25197 -0.0810116
-2 4.30397 -0.0761337
-2 4.35399 -0.0801489
-2 4.40436 -0.0780499
-2 4.45786 -0.0760149
-2 4.51164 -0.080154
-2 4.56536 -0.0789321
-2 4.61687 -0.069598
-2 4.6673 -0.0782498
-2 4.71951 -0.0829469
-2 4.77003 -0.0779627
-2 4.82055 -0.0730274
-2 4.8705 -0.0814076
-2 4.92058 -0.0779126
-2 4.97158 -0.0727192
-2 5.02198 -0.0746571
-2 5.07325 -0.0766251
-2 5.12308 -0.0740721
-2 5.17424 -0.0723415
-2 5.2248 -0.0760514
-2 5.27522 -0.081248
-2 5.32633 -0.0781263
-2 5.37641 -0.0812177
-2 5.42761 -0.0772067
-2 5.47818 -0.0746512
-2 5.5288 -0.0732006
-2 5.57917 -0.0785419
-2 5.62981 -0.0738649
-2 5.67983 -0.0764972
-2 5.72967 -0.0808374
-2 5.78031 -0.0792898
-2 5.83133 -0.0762563
-2 5.88248 -0.0761306
-2 5.93349 -0.0702105
-2 5.9864 -0.0685895
-2 6.0458 -0.0692135
-2 6.09973 -0.0769525
-2 6.15378 -0.0790471
-2 6.2052 -0.0809346
-2 6.25676 -0.0754188
-2 6.31008 -0.069488
-2 6.36148 -0.0657723
-2 6.41245 -0.0692824
-2 6.46306 -0.0752437
