theta time Kinect_theta
-10 33.5013 -0.33282
-10 33.5571 -0.33399
-10 33.6126 -0.335042
-10 33.6641 -0.330412
-10 33.718 -0.336813
-10 33.7732 -0.338759
-10 33.8235 -0.337837
-10 33.8742 -0.333519
-10 33.9261 -0.335457
-10 33.9762 -0.333681
-10 34.026 -0.330348
-10 34.0767 -0.33966
-10 34.1276 -0.337698
-10 34.1778 -0.335348
-10 34.2279 -0.33394
-10 34.278 -0.337762
-10 34.3283 -0.336508
-10 34.3783 -0.335911
-10 34.431 -0.334182
-10 34.4825 -0.336429
-10 34.5344 -0.334134
-10 34.5863 -0.332056
-10 34.6386 -0.333257
-10 34.6909 -0.332693
-10 34.7462 -0.334085
-10 34.8009 -0.339101
-10 34.8565 -0.334288
-10 34.9102 -0.33935
-10 34.9656 -0.336518
-10 35.018 -0.335027
-10 35.0713 -0.333948
-10 35.1231 -0.337534
-10 35.1751 -0.334977
-10 35.2268 -0.330828
-10 35.2787 -0.338224
-10 35.3305 -0.333555
-10 35.3823 -0.334138
-10 35.4347 -0.332898
-10 35.4877 -0.334361
-10 35.5395 -0.335083
-10 35.591 -0.334488
-10 35.6445 -0.333444
-10 35.6963 -0.337049
-10 35.7487 -0.336054
-10 35.8009 -0.333479
-10 35.8555 -0.332567
-10 35.9123 -0.333417
-10 35.9696 -0.332011
-10 36.0225 -0.337884
-10 36.075 -0.337079
-10 36.1272 -0.336173
-10 36.1802 -0.334765
-10 36.232 -0.336186
-10 36.2845 -0.338673
-10 36.3364 -0.335728
-10 36.3872 -0.333371
-10 36.4392 -0.333236
-10 36.4954 -0.334893
-10 36.55 -0.338646
-10 36.6018 -0.333993
-10 36.6541 -0.336103
-10 36.7055 -0.333927
-10 36.7579 -0.333824
-10 36.8093 -0.332917
-10 36.8621 -0.335363
-10 36.9145 -0.331949
-10 36.9669 -0.336531
-10 37.0187 -0.336222
-10 37.0707 -0.332746
-10 37.123 -0.334328
-10 37.1797 -0.336905
-10 37.2362 -0.335458
-10 37.2934 -0.333095
-10 37.3496 -0.330574
-10 37.404 -0.330489
-10 37.4557 -0.334308
-10 37.5063 -0.334474
-10 37.5566 -0.33537
-10 37.6067 -0.333854
-10 37.6571 -0.336511
-10 37.7079 -0.331682
-10 37.7581 -0.335896
-10 37.8089 -0.337975
-10 37.8593 -0.331105
-10 37.9095 -0.334531
-10 37.9604 -0.33588
-10 38.0111 -0.333882
-10 38.0625 -0.332508
-10 38.1126 -0.333944
-10 38.1641 -0.333125
-10 38.2153 -0.335771
-10 38.2669 -0.332789
-10 38.3176 -0.337631
-10 38.3689 -0.33488
-10 38.4327 -0.33324
-10 38.4845 -0.333216
-10 38.5354 -0.333421
-10 38.5869 -0.335365
-10 38.6377 -0.333959
-10 38.6889 -0.334757
