theta time VICON_theta
-02 2.66501 -0.0190338
-02 2.66996 -0.0191256
-02 2.67497 -0.0191973
-02 2.67995 -0.0190507
-02 2.68496 -0.0191889
-02 2.68998 -0.0191823
-02 2.69498 -0.0191346
-02 2.7 -0.0191966
-02 2.70495 -0.0191816
-02 2.70999 -0.0191462
-02 2.72923 -0.0192707
-02 2.72925 -0.0192707
-02 2.72998 -0.0192594
-02 2.735 -0.0192592
-02 2.74006 -0.0191894
-02 2.74529 -0.0193107
-02 2.74998 -0.0191904
-02 2.75502 -0.0192584
-02 2.76006 -0.0192806
-02 2.76505 -0.0193162
-02 2.76997 -0.0192627
-02 2.77495 -0.0192933
-02 2.77995 -0.0193125
-02 2.78495 -0.0192813
-02 2.78995 -0.0192798
-02 2.79503 -0.0193133
-02 2.79999 -0.0193707
-02 2.80496 -0.019264
-02 2.81101 -0.0192854
-02 2.81495 -0.0192643
-02 2.81995 -0.0192789
-02 2.82495 -0.0191804
-02 2.83047 -0.0192044
-02 2.83498 -0.0192616
-02 2.83999 -0.0192097
-02 2.84505 -0.0192057
-02 2.85006 -0.0193027
-02 2.85508 -0.019206
-02 2.86002 -0.0192847
-02 2.86511 -0.0192113
-02 2.87004 -0.019165
-02 2.87507 -0.0191797
-02 2.88007 -0.0192981
-02 2.89462 -0.0192514
-02 2.89463 -0.0192514
-02 2.89528 -0.0193448
-02 2.89997 -0.0191632
-02 2.90501 -0.0192726
-02 2.90996 -0.0192212
-02 2.92799 -0.0192679
-02 2.928 -0.0192679
-02 2.93022 -0.0192627
-02 2.935 -0.0192617
-02 2.93996 -0.0192652
-02 2.94495 -0.0191966
-02 2.94995 -0.0192377
-02 2.95496 -0.0193573
-02 2.96003 -0.01922
-02 2.96508 -0.0193713
-02 2.97001 -0.0192868
-02 2.97504 -0.0192251
-02 2.98014 -0.0192183
-02 2.98497 -0.0192264
-02 2.98995 -0.0192797
-02 2.995 -0.0191954
-02 2.99997 -0.0191747
-02 3.00662 -0.0192195
-02 3.01 -0.0191584
-02 3.015 -0.0191503
-02 3.02002 -0.0191608
-02 3.02502 -0.0191442
-02 3.03014 -0.0191044
-02 3.03504 -0.0192414
-02 3.04001 -0.0192204
-02 3.04497 -0.0191978
-02 3.04996 -0.0192452
-02 3.05498 -0.0192176
-02 3.05996 -0.0193239
-02 3.06503 -0.0192525
-02 3.07006 -0.0190771
-02 3.07501 -0.0190873
-02 3.08002 -0.01905
-02 3.09511 -0.0192204
-02 3.09512 -0.0192204
-02 3.10001 -0.0190801
-02 3.10495 -0.0192177
-02 3.10995 -0.0192349
-02 3.11499 -0.0191895
-02 3.11997 -0.0190577
-02 3.12495 -0.01923
-02 3.12999 -0.0192881
-02 3.13498 -0.0192399
-02 3.13999 -0.0192041
-02 3.14502 -0.0191551
-02 3.15001 -0.0192534
-02 3.15499 -0.0192333
-02 3.15998 -0.0191458
-02 3.1652 -0.0191718
-02 3.17003 -0.0191043
-02 3.17505 -0.0192509
-02 3.18002 -0.0192061
-02 3.1949 -0.0193679
-02 3.19492 -0.0193679
-02 3.19496 -0.0192435
-02 3.19997 -0.0192579
-02 3.20496 -0.0192226
-02 3.20995 -0.0191108
-02 3.21496 -0.0192293
-02 3.21999 -0.0191822
-02 3.22501 -0.0193005
-02 3.23014 -0.0191986
-02 3.23503 -0.0193246
-02 3.24019 -0.0192081
-02 3.24496 -0.0192108
-02 3.24996 -0.0193461
-02 3.25495 -0.0194405
-02 3.25998 -0.0193993
-02 3.26498 -0.01933
-02 3.27002 -0.0192041
-02 3.27496 -0.0193097
-02 3.27997 -0.0194719
-02 3.285 -0.0193936
-02 3.28998 -0.0192287
-02 3.295 -0.0193217
-02 3.30014 -0.0193173
-02 3.305 -0.0192944
-02 3.30997 -0.0192594
-02 3.315 -0.0192558
-02 3.32 -0.0192581
-02 3.32497 -0.0193326
-02 3.33044 -0.0192651
-02 3.33497 -0.0192159
-02 3.33995 -0.0192881
-02 3.34495 -0.0192136
-02 3.34995 -0.0192072
-02 3.35495 -0.0191851
-02 3.35995 -0.0191198
-02 3.36499 -0.0191546
-02 3.37 -0.0191152
-02 3.37496 -0.0190616
-02 3.37996 -0.0191586
-02 3.38495 -0.0193212
-02 3.38995 -0.0192226
-02 3.39496 -0.0190915
-02 3.4 -0.0192418
-02 3.40497 -0.0190926
-02 3.40995 -0.0191339
-02 3.42959 -0.0191012
-02 3.42962 -0.0191012
-02 3.43005 -0.0191461
-02 3.43508 -0.0191506
-02 3.44003 -0.0190533
-02 3.44499 -0.0191033
-02 3.45006 -0.0191578
-02 3.45511 -0.0191462
-02 3.4619 -0.0192211
-02 3.46506 -0.0191715
-02 3.47013 -0.0192652
-02 3.47502 -0.0191603
-02 3.48004 -0.0192589
-02 3.485 -0.0192326
-02 3.49001 -0.0192024
-02 3.495 -0.0191474
-02 3.50007 -0.0191392
-02 3.50501 -0.019053
-02 3.50999 -0.0193094
-02 3.51499 -0.0192439
-02 3.51997 -0.0192938
-02 3.52495 -0.0193908
-02 3.53026 -0.0193692
-02 3.53497 -0.0194579
-02 3.53996 -0.0193917
-02 3.54496 -0.0193543
-02 3.54997 -0.0194607
-02 3.555 -0.0194194
-02 3.56008 -0.019378
-02 3.56503 -0.0194356
-02 3.57001 -0.0194252
-02 3.57501 -0.0194147
-02 3.58005 -0.0194359
-02 3.58503 -0.0194229
-02 3.58999 -0.0193565
-02 3.595 -0.0194243
-02 3.60003 -0.0192622
-02 3.60504 -0.0194043
-02 3.61005 -0.019451
-02 3.61504 -0.0193293
-02 3.62003 -0.019388
-02 3.62502 -0.019252
-02 3.6319 -0.0193273
-02 3.63515 -0.0192995
-02 3.64005 -0.0193154
-02 3.64505 -0.019314
-02 3.65006 -0.0192502
-02 3.65503 -0.01926
-02 3.65999 -0.0191843
-02 3.66506 -0.019178
-02 3.66999 -0.0191575
-02 3.67496 -0.0191536
-02 3.67996 -0.0190524
-02 3.68496 -0.0192003
-02 3.68998 -0.019073
-02 3.695 -0.0192305
-02 3.70004 -0.0191851
-02 3.70512 -0.0191734
-02 3.70999 -0.0190608
-02 3.71503 -0.0192064
-02 3.72006 -0.0190718
-02 3.72505 -0.0190997
-02 3.73003 -0.0190128
-02 3.73507 -0.0190487
-02 3.74006 -0.0191465
-02 3.74501 -0.019017
-02 3.74997 -0.0191154
-02 3.75498 -0.0190968
-02 3.75996 -0.0190813
-02 3.76498 -0.0191167
-02 3.76995 -0.0191133
-02 3.77498 -0.0191027
-02 3.78006 -0.0191549
-02 3.78503 -0.0191559
-02 3.79005 -0.019153
-02 3.79502 -0.0190783
-02 3.80021 -0.0191062
-02 3.80502 -0.0193098
-02 3.81002 -0.0192214
-02 3.81502 -0.0193217
-02 3.82007 -0.0192725
-02 3.82497 -0.0192651
-02 3.83058 -0.019296
-02 3.83498 -0.0193183
-02 3.83996 -0.0193971
-02 3.84497 -0.0193445
-02 3.85 -0.0194095
-02 3.855 -0.0192842
-02 3.86002 -0.0192949
-02 3.87972 -0.0194618
-02 3.87973 -0.0194618
-02 3.87997 -0.0194293
-02 3.885 -0.0193417
-02 3.88997 -0.0194024
-02 3.89503 -0.0194538
-02 3.89999 -0.0194324
-02 3.90498 -0.0193481
-02 3.91001 -0.0193639
-02 3.91503 -0.0193916
-02 3.91998 -0.0194218
-02 3.92501 -0.0194318
-02 3.93072 -0.0193845
-02 3.93504 -0.0194173
-02 3.94002 -0.0193193
-02 3.945 -0.0194041
-02 3.94995 -0.0194508
-02 3.95495 -0.01924
-02 3.95997 -0.0193196
-02 3.965 -0.0193274
-02 3.96997 -0.0192294
-02 3.97497 -0.0191562
-02 3.97996 -0.0193209
-02 3.98496 -0.0192598
-02 3.98995 -0.0192092
-02 3.99497 -0.0193039
-02 4.00014 -0.0191685
-02 4.00593 -0.0191974
-02 4.00996 -0.0190498
-02 4.01499 -0.0191763
-02 4.01998 -0.0191659
-02 4.02496 -0.0192115
-02 4.03039 -0.0190723
-02 4.03496 -0.0191384
-02 4.03996 -0.0191926
-02 4.04497 -0.0191291
-02 4.04999 -0.0191541
-02 4.05496 -0.0190916
-02 4.06164 -0.0191441
-02 4.06511 -0.019074
-02 4.07002 -0.0190825
-02 4.07502 -0.0190641
-02 4.08003 -0.0191454
-02 4.08502 -0.0190618
-02 4.09002 -0.0191523
-02 4.09512 -0.019052
-02 4.11314 -0.0190405
-02 4.11315 -0.0190405
-02 4.11496 -0.0191146
-02 4.11995 -0.0192501
-02 4.12495 -0.0192914
-02 4.1306 -0.0192435
-02 4.13497 -0.0191473
-02 4.14002 -0.0192123
-02 4.145 -0.0191635
-02 4.14996 -0.0191677
-02 4.15496 -0.0192631
-02 4.15997 -0.0193762
-02 4.16499 -0.0193142
-02 4.16996 -0.0193569
-02 4.17503 -0.0193005
-02 4.17996 -0.0192094
-02 4.18496 -0.0193648
-02 4.18995 -0.0194071
-02 4.19496 -0.0193187
-02 4.19999 -0.0192735
-02 4.20495 -0.0193988
-02 4.20996 -0.0194664
-02 4.22855 -0.0193094
-02 4.22858 -0.0193094
-02 4.23001 -0.0193864
-02 4.23497 -0.0194569
